PID,Method,Block,Accuracy,Response Time,Completion Time,Selection Time,Error,SDLP,Speed,Glance
6,MIDAIR,1,80.0,1891.1333333333332,201.2,2092.333333333333,20.0,1.7424940562036644,77.38202619505296,7
6,MIDAIR,2,75.0,1901.9375,193.3125,2095.25,25.0,1.837927761761652,80.47781211178378,1
7,TAP,1,100.0,1484.0,0.0,1484.0,0.0,2.047707153477485,84.2644406696568,0
7,TAP,2,100.0,1267.875,0.0,1267.875,0.0,1.915363740497047,79.11892927206385,0
7,SWIPE,1,100.0,1198.1875,274.5,1472.6875,0.0,1.885048288551432,81.21433677806878,0
7,SWIPE,2,100.0,961.375,293.9375,1255.3125,0.0,1.955303054166066,80.98052127847065,0
7,MIDAIR,1,63.63636363636363,826.2727272727273,220.27272727272728,1046.5454545454545,36.36363636363637,2.629702625657928,87.70610153424926,0
7,MIDAIR,2,60.0,416.26666666666665,197.06666666666663,613.3333333333334,40.0,2.038770591577163,85.54729864958455,0
8,TAP,1,100.0,1459.75,0.0,1459.75,0.0,2.0331037416015243,92.76355444715166,0
8,TAP,2,100.0,1071.8125,0.0,1071.8125,0.0,2.0509925963194657,89.37704346507181,0
8,SWIPE,1,81.25,1103.375,452.75,1556.125,18.75,2.4430448268825486,81.01933593393339,0
8,SWIPE,2,87.5,1139.25,388.375,1527.625,12.5,2.121076464939666,78.52873396997177,0
8,MIDAIR,1,93.33333333333331,855.0,531.1333333333333,1386.1333333333334,6.666666666666671,2.479280147028496,83.48577927465527,0
8,MIDAIR,2,93.75,853.75,545.3125,1399.0625,6.25,2.3406719664764224,86.88215350535489,0
9,TAP,1,100.0,1443.125,0.0,1443.125,0.0,1.9367354879002008,85.576957271967,0
9,TAP,2,100.0,976.0625,0.0,976.0625,0.0,1.9333837042976263,82.12207057194568,0
9,SWIPE,1,93.75,784.6875,243.8125,1028.5,6.25,2.178581906670737,80.79174392573744,0
9,SWIPE,2,93.75,851.9375,215.6875,1067.625,6.25,2.319707603549004,81.31611380145269,0
9,MIDAIR,1,71.42857142857143,357.35714285714283,160.71428571428572,518.0714285714286,28.57142857142857,2.0467317542451013,79.30016249240715,0
9,MIDAIR,2,40.0,411.2,153.86666666666667,565.0666666666667,60.0,2.0271109874445368,78.48721837850336,0
10,TAP,1,100.0,983.1875,0.0,983.1875,0.0,1.8938381465018796,81.0789640223593,0
10,TAP,2,100.0,1006.3125,0.0,1006.3125,0.0,1.8262081186981791,80.51569370178967,0
10,SWIPE,1,87.5,839.25,212.4375,1051.6875,12.5,1.82673632500826,80.22235372414916,0
10,SWIPE,2,81.25,882.375,224.0625,1106.4375,18.75,2.02042791425156,78.94601403667154,0
10,MIDAIR,1,78.57142857142857,1903.9285714285716,163.35714285714286,2067.285714285714,21.42857142857143,3.001704492849109,98.58418823401456,1
10,MIDAIR,2,93.75,1578.625,244.8125,1823.4375,6.25,1.855790466905105,74.64397126469626,0
11,TAP,1,100.0,1308.5,0.0,1308.5,0.0,2.473912884002777,82.48822184471724,18
11,TAP,2,100.0,1168.75,0.0,1168.75,0.0,2.427916930855355,86.89303313077609,21
11,SWIPE,1,87.5,866.125,376.3125,1242.4375,12.5,2.659646126562068,102.33466035364351,1
11,SWIPE,2,93.75,942.1875,398.25,1340.4375,6.25,2.157771506934642,82.33073243691994,10
11,MIDAIR,1,87.5,350.6875,204.0625,554.75,12.5,2.6523172571974403,86.27366397853821,7
11,MIDAIR,2,81.25,524.625,207.4375,732.0625,18.75,1.867771745979876,100.60078586170349,6
12,TAP,1,100.0,1046.4615384615386,0.0,1046.4615384615386,0.0,2.4280505457777384,116.04626938377147,8
12,TAP,2,100.0,1058.625,0.0,1058.625,0.0,2.116831305839625,80.91288940098292,11
12,SWIPE,1,100.0,902.625,270.375,1173.0,0.0,2.270696212262426,83.46459379452662,13
12,SWIPE,2,100.0,846.8125,298.9375,1145.75,0.0,2.2513436354451364,84.67759926841569,5
12,MIDAIR,1,86.66666666666667,306.7333333333333,393.73333333333335,700.4666666666667,13.333333333333329,2.421446422516737,83.61219148275623,9
12,MIDAIR,2,93.75,234.25,358.125,592.375,6.25,2.3692969037211395,83.03856186332467,8
13,TAP,1,100.0,1641.5625,0.0,1641.5625,0.0,2.2256674498491,89.39044616090479,24
13,TAP,2,100.0,1449.5625,0.0,1449.5625,0.0,2.0788336068002886,89.1660670932498,28
13,SWIPE,1,100.0,1452.1875,417.375,1869.5625,0.0,2.022171481708707,83.73987427189496,34
13,SWIPE,2,100.0,1220.6875,381.5,1602.1875,0.0,2.081228207827872,90.17223874115734,18
13,MIDAIR,1,81.25,1250.3125,301.25,1551.5625,18.75,2.173626997269816,85.91413746719532,26
13,MIDAIR,2,68.75,762.0625,318.875,1080.9375,31.25,2.374574285390384,80.48897834617694,24
14,TAP,1,100.0,1259.4666666666667,0.0,1259.4666666666667,0.0,1.8954742292476243,90.36167987108507,0
14,TAP,2,100.0,1250.1333333333334,0.0,1250.1333333333334,0.0,1.9492399468271109,81.0565492481256,0
14,SWIPE,1,93.75,987.5625,197.1875,1184.75,6.25,1.7927682986318496,76.68538956330826,0
14,SWIPE,2,93.75,980.5,170.1875,1150.6875,6.25,1.759704216310637,78.48440678883526,0
14,MIDAIR,1,100.0,431.0625,172.4375,603.5,0.0,2.1269361885359874,73.29129216215699,0
14,MIDAIR,2,78.57142857142857,914.8571428571428,110.35714285714286,1025.2142857142858,21.42857142857143,1.7588129051308714,68.84644088018605,0
15,TAP,1,100.0,829.0625,0.0,829.0625,0.0,1.9101812092752517,82.85698260407821,12
15,TAP,2,100.0,770.8125,0.0,770.8125,0.0,2.069025094215788,80.65505292982101,22
15,SWIPE,1,93.75,815.9375,254.25,1070.1875,6.25,2.141241606488528,77.32331536479661,20
15,SWIPE,2,93.75,817.25,280.8125,1098.0625,6.25,2.089211879271236,81.13933412006428,22
15,MIDAIR,1,80.0,246.26666666666668,308.53333333333336,554.8,20.0,2.242098685700311,76.71078910075427,11
15,MIDAIR,2,92.85714285714286,298.57142857142856,272.7142857142857,571.2857142857143,7.142857142857139,2.154600928863119,83.07103382163449,6
16,TAP,1,100.0,902.8125,0.0,902.8125,0.0,2.008291204381049,76.21561925009523,21
16,TAP,2,100.0,1021.0,0.0,1021.0,0.0,2.105131630445639,83.21693240268236,29
16,SWIPE,1,100.0,909.3125,362.625,1271.9375,0.0,1.7970861916764684,75.23835604846414,1
16,SWIPE,2,100.0,935.8125,331.6875,1267.5,0.0,2.162448076593711,72.70972598212728,0
16,MIDAIR,1,66.66666666666667,630.7333333333333,254.26666666666668,885.0,33.33333333333333,2.0296795975867497,80.38420159562776,4
16,MIDAIR,2,75.0,806.1875,172.1875,978.375,25.0,2.0877009155829414,81.792100901398,5
17,TAP,1,93.75,957.5,0.0,957.5,6.25,2.343985042800698,83.85928738997187,12
17,TAP,2,100.0,997.125,0.0,997.125,0.0,1.893303193427164,85.1370682030006,7
17,SWIPE,1,93.75,878.75,325.3125,1204.0625,6.25,2.2849023448271524,90.1897025495399,1
17,SWIPE,2,100.0,1169.0625,278.8125,1447.875,0.0,2.16737407966216,93.07060665886723,2
17,MIDAIR,1,78.57142857142857,677.3571428571429,164.71428571428572,842.0714285714286,21.42857142857143,2.62281011489251,89.4217040055781,0
17,MIDAIR,2,91.66666666666669,1043.9166666666667,148.5,1192.4166666666667,8.333333333333329,2.096487399804906,86.04068201143366,0
18,TAP,1,100.0,1279.5333333333333,0.0,1279.5333333333333,0.0,2.159756997345272,78.20352410875425,6
18,TAP,2,100.0,1138.25,0.0,1138.25,0.0,2.1931280099788584,81.59524972771428,12
18,SWIPE,1,93.75,884.5625,301.6875,1186.25,6.25,2.2442258045350485,80.12213124728598,2
18,SWIPE,2,100.0,918.125,384.125,1302.25,0.0,2.2708366486138973,78.58378714175177,6
18,MIDAIR,1,83.33333333333333,393.75,234.75,628.5,16.66666666666667,2.368717642502007,79.51391350216646,1
18,MIDAIR,2,80.0,151.2,219.8,371.0,20.0,2.291470905122956,83.09315057952979,0
